ababa	a- ba- ba
abababa	a- ba- ba- ba
abababaje	a- ba- babaje
abababana	a- ba- ba- bana
abababarira	a- ba- babarira
abababarirwa	a- ba- babarirwa
abababariye	a- ba- babariye
abababarura	a- ba- ba- barura
abababaye	a- ba- babaye
abababaza	a- ba- babaza
abababazwa	a- ba- babaza -w
abababazwaga	a- ba- babaza -w -aga
abababeshya	a- ba- ba- beshya
abababeshyeye	a- ba- ba- beshyeye
abababibamo	a- ba- ba- biba -mo
abababona	a- ba- ba- bona
abababonye	a- ba- ba- bonye
abababoshye	a- ba- ba- boshye
abababuza	a- ba- ba- buza
abababwira	a- ba- ba- bwira
abababwiraga	a- ba- ba- bwira -aga
abababyara	a- ba- ba- byara
abababyaye	a- ba- ba- byaye
ababaca	a- ba- ba- ca
ababacitse	a- ba- ba- citse
ababacumbikira	a- ba- ba- cumbikira
ababacumbikiye	a- ba- ba- cumbikiye
ababacyamo	a- ba- ba- cya -mo
ababafasha	a- ba- ba- fasha
ababafashe	a- ba- ba- fashe
ababafashije	a- ba- ba- fashije
ababafata	a- ba- ba- fata
ababafataga	a- ba- ba- fata -aga
ababafite	a- ba- ba- fite
ababaga	a- ba- baga
ababagana	a- ba- bagana
ababagaragaje	a- ba- ba- garagaje
ababagemurira	a- ba- ba- gemurira
ababagemuriraga	a- ba- ba- gemurira -aga
ababagenda	a- ba- ba- genda
ababagenera	a- ba- ba- genera
ababagerageza	a- ba- ba- gerageza
ababagezaho	a- ba- ba- geza -ho
ababagira	a- ba- ba- gira
ababagiriye	a- ba- ba- gira -iye
ababagize	a- ba- ba- gize
ababagoboka	a- ba- ba- goboka
ababagura	a- ba- ba- gura
ababagurije	a- ba- ba- gurije
ababagurira	a- ba- ba- gura -ir
ababaguriza	a- ba- ba- guriza
ababagwa	a- ba- bagwa
ababaha	a- ba- ba- ha
ababahaga	a- ba- ba- haga
ababahagararira	a- ba- ba- hagararira
ababahagarariye	a- ba- ba- hagarariye
ababahahiraga	a- ba- ba- haha -ir -aga
ababahamagara	a- ba- ba- hamagara
ababahamagaye	a- ba- ba- hamagaye
ababahanga	a- ba- ba- hanga
ababahanze	a- ba- ba- hanze
ababahatira	a- ba- ba- hata -ir
ababahaye	a- ba- ba- haye
ababahemukiye	a- ba- ba- hemuka -iye
ababaherekeje	a- ba- ba- herekeje
ababaherekeza	a- ba- ba- herekeza
ababahiga	a- ba- ba- higa
ababahigaga	a- ba- ba- higa -aga
ababahisemo	a- ba- ba- hise -mo
ababahisha	a- ba- ba- hisha
ababahitamo	a- ba- ba- hita -mo
ababaho	a- ba- ba -ho
ababahoze	a- ba- ba- hoze
ababahugura	a- ba- ba- hugura
ababahuguraga	a- ba- ba- hugura -aga
ababahuguye	a- ba- ba- huguye
ababaje	a- babaje
ababajije	a- ba- bajije
ababajijwe	a- ba- ba- jijwe
ababaka	a- ba- ba- aka
ababakamiye	a- ba- ba- kama -iye
ababakene	a- ba- ba- kena -e
ababakeneraho	a- ba- ba- kenera -ho
ababakeneye	a- ba- ba- keneye
ababakijije	a- ba- ba- kijije
ababakingira	a- ba- ba- kinga -ir
ababakira	a- ba- ba- kira
ababakiriye	a- ba- ba- akiriye
ababakobwa	a- ba- ba- kobwa
ababakodesha	a- ba- ba- kodesha
ababakolonije	a- ba- ba- kolonije
ababakomokaho	a- ba- ba- komoka -ho
ababakora	a- ba- ba- kora
ababakorera	a- ba- ba- korera
ababakoreraga	a- ba- ba- korera -aga
ababakoresha	a- ba- ba- koresha
ababakoreye	a- ba- ba- koreye
ababakubye	a- ba- ba- kubye
ababakunda	a- ba- ba- kunda
ababakuriye	a- ba- ba- kura -iye
ababakuyemo	a- ba- ba- kuyemo
ababakwiye	a- ba- ba- kwa -iye
ababamamaza	a- ba- ba- amamaza
ababamo	a- ba- ba -mo
ababana	a- ba- bana
ababanaga	a- ba- bana -aga
ababandikira	a- ba- ba- andika -ir
ababandikiye	a- ba- ba- andika -iye
ababangirije	a- ba- ba- angira -ije
ababanye	a- ba- banye
ababanyuze	a- ba- ba- nyuze
ababanza	a- ba- banza
ababara	a- babara
ababarandata	a- ba- ba- randata
ababararira	a- ba- ba- rara -ir
ababarashe	a- ba- ba- rashe
ababareba	a- ba- ba- reba
ababarenganura	a- ba- ba- renganura
ababarengera	a- ba- ba- rengera
ababarera	a- babara -ir
ababareraga	a- babara -ir -aga
ababareze	a- ba- ba- reze
ababari	a- ba- ba- ri
ababaribwa	a- ba- ba- ribwa
ababarimo	a- ba- ba- ri -mo
ababarinze	a- ba- ba- rinze
ababarira	a- babarira
ababarire	a- babarira -e
ababarirwa	a- babarirwa
ababarirwaga	a- babarirwa -aga
ababariwe	a- babariwe
ababariye	a- babariye
ababarura	a- ba- barura
ababarurwa	a- ba- barura -w
ababarusha	a- ba- ba- rusha
ababarushije	a- ba- ba- rushije
ababaruta	a- ba- ba- ruta
ababarwanya	a- ba- ba- rwanya
ababasaba	a- ba- ba- saba
ababasanga	a- ba- ba- sanga
ababasanzwe	a- ba- ba- sanzwe
ababasemurira	a- ba- ba- semura -ir
ababasha	a- ba- basha
ababashaga	a- ba- basha -aga
ababashakamo	a- ba- ba- shaka -mo
ababashakira	a- ba- ba- shakira
ababashije	a- ba- bashije
ababashinja	a- ba- ba- shinja
ababashinje	a- ba- ba- shinja -e
ababashinjije	a- ba- ba- shinja -ije
ababashobora	a- ba- ba- shobora
ababashuka	a- ba- ba- shuka
ababashukisha	a- ba- ba- shuka -ish
ababashyigikira	a- ba- ba- shyigikira
ababashyigikiye	a- ba- ba- shyigikiye
ababashyingiranye	a- ba- ba- shyingira -an -ye
ababashyiraho	a- ba- ba- shyira -ho
ababasiga	a- ba- ba- siga
ababasigaranye	a- ba- ba- sigara -an -ye
ababasigariraho	a- ba- ba- sigara -ir -ho
ababasimbura	a- ba- ba- simbura
ababasize	a- ba- ba- size
ababasoma	a- ba- ba- soma
ababasumbyeho	a- ba- ba- sumbye -ho
ababasuye	a- ba- ba- suye
ababatangiye	a- ba- ba- tangiye
ababategura	a- ba- ba- tegura
ababateguriye	a- ba- ba- tegura -iye
ababatekerezaho	a- ba- ba- tekereza -ho
ababatemye	a- ba- ba- temye
ababatera	a- ba- ba- tera
ababatererana	a- ba- ba- tererana
ababateye	a- ba- ba- teye
ababateze	a- ba- ba- teze
ababatijwe	a- ba- batijwe
ababatorera	a- ba- ba- tora -ir
ababatoye	a- ba- ba- toye
ababatoza	a- ba- ba- toza
ababatuka	a- ba- ba- tuka
ababatuma	a- ba- ba- tuma
ababatumye	a- ba- ba- tumye
ababatunga	a- ba- ba- tunga
ababatunze	a- ba- ba- tunze
ababatwara	a- ba- ba- twara
ababatwaye	a- ba- ba- twaye
ababavugira	a- ba- ba- vuga -ir
ababavura	a- ba- ba- vura
ababaye	a- babaye
ababayeho	a- babaye -ho
ababayobora	a- ba- ba- yobora
ababaza	a- babaza
ababazaga	a- babaza -aga
ababazamura	a- ba- ba- zamura
ababazamuye	a- ba- ba- zamuye
ababazana	a- babaza -an
ababazanamo	a- babaza -an -mo
ababazanye	a- ba- ba- zanye
ababazi	a- ba- ba- zi
ababazirikana	a- ba- ba- zirikana
ababazwa	a- babaza -w
ababegera	a- ba- ba- egera
ababera	a- ba- bera
ababere	a- ba- bera -e
ababerekera	a- ba- berekera
ababereye	a- ba- bereye
ababeshaho	a- ba- ba -ish -ho
ababeshya	a- ba- beshya
ababeshye	a- ba- beshye
ababeshyera	a- ba- beshyera
ababiba	a- ba- biba
ababibamo	a- ba- biba -mo
ababibikana	a- ba- bi- bika -an
ababibona	a- ba- bi- bona
ababibonaga	a- ba- bi- bona -aga
ababibonamo	a- ba- bi- bona -mo
ababibonye	a- ba- bi- bonye
ababibumbye	a- ba- bi- bumbye
ababibura	a- ba- bi- bura
ababica	a- ba- bi- ca
ababicaga	a- ba- bi- ca -aga
ababiciye	a- ba- bi- ciye
ababicukuramo	a- ba- bi- cukura -mo
ababicuruza	a- ba- bi- curuza
ababifashamo	a- ba- bi- fasha -mo
ababifashwamo	a- ba- bi- fashwa -mo
ababifata	a- ba- bi- fata
ababifataga	a- ba- bi- fata -aga
ababifatanywe	a- ba- bi- fatanya -w -e
ababifatirwamo	a- ba- bi- fata -ir -w -mo
ababifatiwemo	a- ba- bi- fata -iye -w -mo
ababifite	a- ba- bi- fite
ababifiteho	a- ba- bi- fite -ho
ababifitemo	a- ba- bi- fite -mo
ababifuza	a- ba- ba- ifuza
ababigambiriye	a- ba- bi- gamba -ir -iye
ababigana	a- ba- bi- gana
ababigaragaje	a- ba- bi- garagaje
ababigaragaza	a- ba- bi- garagaza
ababigena	a- ba- bi- gena
ababigenje	a- ba- bi- genje
ababigerageza	a- ba- bi- gerageza
ababigeramo	a- ba- bi- gera -mo
ababigira	a- ba- bi- gira
ababigiramo	a- ba- bi- gira -mo
ababigisha	a- ba- ba- igisha
ababigishaga	a- ba- ba- igisha -aga
ababigize	a- ba- bi- gize
